1	UNK	2753
2	$	6937
3	''	6622
4	(	0
5	)	0
6	,	46478
7	--	0
8	.	40844
9	:	4680
10	CC	22816
11	CD	34875
12	DT	78775
13	EX	833
14	FW	224
15	IN	94756
16	JJ	58944
17	JJR	3174
18	JJS	1867
19	LS	47
20	MD	9437
21	NN	127534
22	NNP	87602
23	NNPS	2505
24	NNS	57857
25	PDT	333
26	POS	8284
27	PRP	16764
28	PRP$	7989
29	RB	29619
30	RBR	1675
31	RBS	435
32	RP	2515
33	SYM	55
34	TO	21460
35	UH	87
36	VB	25489
37	VBD	28308
38	VBG	14345
39	VBN	19330
40	VBP	12326
41	VBZ	20981
42	WDT	4194
43	WP	2284
44	WP$	166
45	WRB	2050
46	``	6782
